label,translation
Hezb-e Islami,Hezb-e Islami
Gump and Co.,Gump et Cie.
For Love of the Game,Pour l de jeu
1983–84 Copa del Rey,1983–84 Copa del Rey
1983-84 Copa del Rey,1983-84 Copa del Rey
U.S. Route 66 in New Mexico,U.S. Route 66 au Nouveau-Mexique
MTX Tatra V8,MT Tatra V8
Sozialmedizinisches Zentrum Baumgartner Höhe Otto-Wagner-Spital und Sozialmedizinisches Zentrum Baumgartner Höhe Pflegezentrum,Sozialmedizinisches Zentrum Baumgartner Höhe Otto-Wagner-Spital und Sozialmedizinisches Zentrum Baumgartner Höhe Pflegezentrum
volleyball at the 1976 Summer Olympics – men's tournament,volley-ball à Jeu olympique d de 1976 – tournoi masculin
volleyball at the 1976 Summer Olympics - men's tournament,volley-ball à Jeu olympique d de 1976 - tournoi masculin
Cancom SE,Cancom SE
1998 CART season,Saison CART 1998
Interstate 94 in Illinois,Interstate 94 en Illinois
National University of Modern Languages,Université national de langue vivant
National University of Modern Languages (NUML),Université national de langue vivant (NUML)
Rolls-Royce 100EX,Rolls-Royce 100EX
III liga,III liga
People's Party,Partir de Peuple
2003–04 Copa del Rey,2003–04 Copa del Rey
2003-04 Copa del Rey,2003-04 Copa del Rey
Ship of Fools,Bateau de fous
Rights and Equality Party,Partir de droit et de l
history of Google,Histoire de Google
People's Voice Party,Partir de le Voix de Peuple
Daihatsu Be-go,Daihatsu be-go
O.M.Beketov National University of Urban Economy in Kharkiv,Université national O.M.Beketov d urbaine à Kharkiv
Kharkiv National Academy of Municipal Economy,Kharkiv Académie National d Municipal
The Riddle of the Sands,L de sable
On the Bondage of the Will,Sur le servitude de le volonté
web engineering,Ingénierie web
The Dogs of War,Le chien de guerre
The Last Children of Schewenborn,Le dernier enfant de Schewenborn
Serie A1 (water polo),Serie A1 (water-polo)
The Emerald City of Oz,Le ville d d
The 500 Hats of Bartholomew Cubbins,Le 500 Chapeaux de Bartholomew Cubbins
Kosača noble family,Famille noble de Kosača
Kosačić noble family,Famille noble Kosačić
House of Kosača,Maison de Kosača
House of Kosačić,Maison de Kosačić
Swedish allotment system,Système d suédois
Freedom and Accord Party,Partir de le liberté et de l
Military Academy of the Signal Corps,Académie militaire de Corps de transmission
Military Academy of Communications named after Marshal of the Soviet Union SM Budennogo,Académie militaire de communication nommer d le maréchal de l soviétique SM Budennogo
Military Academy of Communications named after SM Budenny,Académie militaire de communication nommer d SM Budenny
Military Red Banner Academy of Telecommunications. S.M. Budyonny,Bannière rouge militaire Académie de télécommunications. S.M. Budyonny
Higher Military Electrotechnical School of the Workers 'and Peasants' Red Army,École supérieur électrotechnique militaire de l rouge ouvrier et paysanne
Ich bin dann mal weg,Ich bin dann mal weg
1989 Iranian presidential election,Élection présidentiel iranien de 1989
Iranian presidential election  1989,Élection présidentiel iranien de 1989
Fit for Life,En forme pour le vie
1977–78 in English football,1977–78 en football angler
1977-78 in English football,1977-78 en football angler
1987–88 in English football,1987-88 en football angler
1987-88 in English football,1987-88 en football angler
UEFA Euro 2000 Group A,UEFA Euro 2000 Groupe A
Lexus LS600h,Lexus ls600h
Fathers' rights movement,Mouvement pour le droit de père
University of Malaysia  Kelantan,Université de Malaisie Kelantan
Cutting for Stone,Découpe pour le pierre
Postictal  twilight state,État de crépuscule postictal
twilight state,état crépusculaire
twilight state of consciousness,état crépusculaire de conscience
Playing for Pizza,Jouer pour Pizza
State road 3 bis,Route national 3 bis
materials engineering,ingénierie de matériau
pressed cheese dumplings,boulette de fromage presser
cheese dumplings,boulette de fromage
Presidency of the Council of Ministers of Italy,Présidence de Conseil de ministre de l
Cane di Oropa,Cane d
Communist Party of Cuba,Parti communiste de Cuba
Segunda División de México,Segunda División de México
Segunda Division de Mexico,Segunda Division de Mexique
World Cup of Pool,Coupe de Monde de Pool
knowledge organization,organisation de savoir
Montreal AAA,Montréal AAA
National Association of Software and Service Companies,Association national de société de logiciel et de service
National Association of Software and Services Companies,Association national de société de logiciel et de service
Institute for Creation Research,Institut de recherche sur le création
1994 NASCAR Winston Cup Series,Série NASCAR Winston Cup 1994
Unsafe at Any Speed,Insalubre à tout vitesse
Unsafe at Any Speed: The Designed-In Dangers of the American Automobile,Insalubre à tout vitesse : le danger de l américain
capital punishment in Turkey,Le peine capital en Turquie
Up in the Air,Dans le air
Up in the Air (Novel),Dans le air (roman)
Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry,Morale et dogme de l rite écossais et accepter de le franc-maçonnerie
Morals and Dogma,Morale et dogme
Philippine studies,Étude philippine
Filipino studies,Étude philippine
UzAuto Motors,Moteur uzauto
GM Uzbekistan,GM Ouzbékistan
Tales from Watership Down,Conte de Watership Down
Ford Escort RS Cosworth,Ford Escort RS Cosworth
definition of religion,définition de le religion
Interstate 40 in Oklahoma,Interstate 40 en Oklahoma
2002–03 in English football,2002–03 en football angler
2002-03 in English football,2002-03 en football angler
Dejvické divadlo,Dejvické divadlo
SAP Solution Manager,Gestionnaire de solution SAP
SUMCO Corporation,Société SUMCO
Kabushiki-gaisha Samuko,Kabushiki-gaisha Samuko
Serviço Nacional de Aprendizagem Comercial,Serviço Nacional de Aprendizagem Comercial
Santa Maria del Pi,Santa Maria del Pi
The Walking Dead: Rise of the Governor,The Walking Dead: L de gouverneur
Good-Bye to All That,Au revoir à tout cela
Pluk van de Petteflet,Pluk van de Petteflet
surf ski,Ski de surf
Europe's Strongest Man,L le plus fort d
1994 Major League Baseball season,Saison 1994 de le Ligue majeur de baseball
The Guns of August,Le Canon d
Toyota Celica GT-Four,Toyota Celica GT-Four
Interstate 20 in Texas,Interstate 20 au Texa
Interstate 81 in Virginia,Interstate 81 en Virginie
Interstate 85 in North Carolina,Interstate 85 en Caroline de Nord
after competition,après le compétition
2007 FIFA U-20 World Cup squads,Coupe de monde U-20 de le FIFA 2007
League of Ireland First Division,Ligue d Premier Division
FAI First Division,Premier division FAI
FAI LOI First Division,FAI LOI Premier division
LOI First Division,Premier division de le LOI
The Demon-Haunted World: Science as a Candle in the Dark,Le monde hanter par le démon : le science comme un bougie dans l
Babylonian astrology,Astrologie babylonien
Public procurement law in Germany,Droit de marché public en Allemagne
Bloodlines (Mead novel),Ligne de sang (roman de Mead)
De jure belli ac pacis,De jure belli ac paci
On the Law of War and Peace,Sur le droit de le guerre et de le paix
Lincoln Mark VIII,Lincoln Mark VIII
1968 Red Square demonstration,1968 Démonstration de le Place Rouge
Dymaxion car,Dymaxion voitur
William Shakespeare's late romances,Le romance tardive de William Shakespeare
Summer services,Service d
Anne of Windy Poplars,Anne de Peupliers Venty
The Inheritance of Loss,L de le perte
Moominvalley in November,Moominvalley en novembre
Book of Henryków,Livre de Henryków
Book of Henrykow,Livre d
A Stranger in the Mirror,Un étranger dans le miroir
2012 Costa Rica earthquake,Séisme de 2012 au Costa Rica
Partido Komunista ng Pilipinas-1930,Partido Komunista ng Pilipinas-1930
Cider with Rosie,Cidre avec Rosie
Devetashka cave,Grotte de Devetashka
Bhakti movement,Mouvement Bhakti
Tales from Moominvalley,Conte de Moominvalley
Amusing Ourselves to Death,Amusant nous-même à le mort
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Amusant nous-même jusqu le mort: le discours public à l de show-business
Amusing ourselves to death,S à mourir
capital punishment in the Philippines,Le peine capital à Philippine
agrarian socialism,socialisme agraire
Niigata Kenmin FM Broadcast,Niigata Kenmin Diffusion FM
1934 Latvian coup d'état,1934 Coup d letton
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,D le dossier mélanger de Mme Basil E. Franckweiler
Polish scouting,Le scoutisme polonais
Madrid bid for the 2020 Summer Olympics,Le candidature de Madrid pour le Jeu olympique d de 2020
TC 2000 Championship,Championnat TC 2000
Republican Party of India,Parti républicain de l
Regional High-Standard Highways in Japan,Autoroutes régional à haut niveau au Japon
The Collected Works of C. G. Jung,Le Œuvre Collecter de C. G. Jung
The People of Hemsö,Le gens de Hemsö
2010 United States Senate election in Alabama,Élection sénatoriale américaine de 2010 en Alabama
2010 United States Senate election in Alaska,Élection sénatoriale américaine de 2010 en Alaska
2010 United States Senate election in Alaska,Élection sénatoriale américaine de 2010 en Alaska
United States Senate election in Alaska  2010,Élection sénatoriale américaine en Alaska 2010
list of Independent Administrative Institutes in Japan,Liste de Instituts d Indépendants au Japon
Tordyveln flyger i skymningen,Tordyveln flyger i skymningen
FA Women's National League,Ligue national féminin de le FA
FA Women's Premier League,Premier League féminin de le FA
Mexican elections  2003,Élection mexicain de 2003
Peugeot ROA,Peugeot ROA
Inter-University Centre for Astronomy and Astrophysics,Centre interuniversitaire d et d
2012 United States Senate election in Connecticut,Élection sénatoriale américaine de 2012 dans le Connecticut
Software construction,Construction de logiciel
Greggs plc,Grégens plc
2010 United States Senate election in Georgia,Élection sénatoriale américaine de 2010 en Géorgie
Indian Institute of Technology Patna,Institut indien de technologie de Patna
IIT Patna,IIT à Patna
Tenggelamnya Kapal van der Wijck,Tenggelamnya Kapal van der Wijck
Reshteh Kūh-e Bīnālūd,Reshteh Kūh-e Bīnālūd
Kūhestān-e Bīnālūd,Kūhestān-e Bīnālūd
I Served the King of England,J servir le roi d
University of Maiduguri,Université de Maiduguri
2008 United States presidential election in New Hampshire,Élection présidentiel américain de 2008 dans le New Hampshire
2009 Andhra Pradesh Legislative Assembly election,Élection de l législatif de l Pradesh en 2009
Open University of Sri Lanka,Université ouvrir de Sri Lanka
Hyundai HB20,Hyundai HB20
Department of Labor and Employment,Ministère de Travail et de l
Department of Budget and Management,Département de budget et de le gestion
Department of Social Welfare and Development,Ministère de le protection social et de développement
capital punishment in Poland,Le peine capital en Pologne
capital punishment in Malaysia,Le peine capital en Malaisie
The Steps of the Sun,Le marche de soleil
Delhi College of Engineering,Université d de Delhi
Shaheed Sukhdev College of Business Studies,Faculté d commerciale Shahied Sukhdev
National Accreditation Board for Testing and Calibration Laboratories,Conseil national d un laboratoire d et d
Dunno on the Moon,Dunno sur le Lune
Cabin of Peter the Great,Cabane de Pierre le Grand
Tehran University of Art,Université d de Téhéran
1992 Erzincan earthquake,Séisme de 1992 à Erzincan
Ezogelin soup,Soupe d
Ezogelin çorba,Ezogelin çorba
Ezogelin çorbası,Ezogelin çorbası
FIBA Americas Under-18 Championship,Championnat de Amérique de moins de 18 an de le FIBA
Fai bei sogni,Fai bei sogni
Fiat Punto GT,Fiat Punto GT
Wildlife Institute of India,Institut de le faune de l
The Queen's Fool,Le fou de le reine
Judo as a sport,Le judo comme sport
Monumental Clock of Pachuca,Horloge monumental de Pachuca
The Art of Racing in the Rain,L de courir sous le pluie
Kyōko no Ie,Kyōko no Ie
Leinster GAA Senior Hurling Championship,Leinster GAA Championnat Senior de Hurling
University of Urmia,Université d
2010–11 Ashes series,Série Cendre 2010–2011
2010-11 Ashes series,2010-11 Série Cendres
1993 NCAA Men's Division I Basketball Tournament,Tournoi de basketball masculin de le Division I de le NCAA 1993
1995 NCAA Men's Division I Basketball Tournament,Tournoi de basketball masculin de le Division I de le NCAA 1995
2004–05 UEFA Champions League knockout stage,Ligue de champion de l 2004-2005
2004-05 UEFA Champions League knockout stage,2004-05 Ligue de champion de l stade à élimination direct
2006–07 UEFA Champions League knockout stage,Ligue de champion de l 2006-07 phase à élimination direct
2006-07 UEFA Champions League knockout stage,2006-07 Coupe de l Champion League
antihypoxic drugs,médicament antihypoxique
The Countess of Pembroke's Arcadia,L de le Comtesse de Pembroke
The Arctic Home in the Vedas,Le maison arctique dans le Veda
Bill  the Galactic Hero,Bill le héros galactique
Majma' al-Bayan,Majma al-Bayan
American University of Kuwait,Université américain de Koweït
Qasr al-Ayni,Qasr al-Ayni
Zad al-Ma'ad,Zad al-Ma
Indonesian Food and Drug Authority,Autorité indonésien de aliment et de médicament
Indonesian FDA,Indonésien FDA
Rebellion of Ōshio Heihachirō,Rébellion d Heihachirō
Rebellion of Heihachirō Ōshio,Rébellion de Heihachirō Ōshio
Ōshio Heihachirō no Ran,Ōshio Heihachirō no Ran
Ōshio no Ran,Ōshio no Ran
GAZ-14 Chaika,GAZ-14 Tchaïka
Volga GAZ-31105,Volga GAZ-31105
Main Directorate of Special Programs of the President of the Russian Federation,Direction principal de programme spécial de Président de le Fédération de Russie
Chief Directorate for Special Programmes of the Russian President,Direction en chef de programme spécial de président russe
The Tao of Pooh,Le Tao de l
Day of the Oprichnik,Jour de l
The Right Hand of the Grand Master,Le main droite de Grand Maître
SAP Business Suite,Suite d SAP
Boy's Life,Le vie de garçon
The Book of Tasty and Healthy Food,Le livre de le nourriture savoureux et sain
Corporation for National and Community Service,Société de service national et communautaire
Corporation for National & Community Service,Société pour le service national et communautaire
Journey into the Whirlwind,Voyage dans le tourbillon
Who is to Blame?,Qui être à blâmer?
1989 Major League Baseball season,Saison 1989 de Ligue majeur de baseball
Dzhuchi-khan Mausoleum,Mausoler de Dzhuchi-khan
The Metamorphosis of Prime Intellect,Le métamorphose de l premier
Ministry of Panchayati Raj,Ministère de Panchayati Raj
Ministry of Industries and Business,Ministère de l et de Commerce
People's Democratic Front,Front démocratique populaire
National University of Life and Environmental Sciences of Ukraine,Université national de science de le vie et de l de l
Monument to Lenin at the entrance of the Volga-Don canal,Monument à Lénine à l de canal Volga-Don
1942 United States Senate elections,Élection sénatoriale de 1942 à États-Unis
United States Senate elections  1942,Élection sénatoriale américaine de 1942
1944 United States Senate elections,Élection sénatoriale américaine de 1944
United States Senate elections  1944,Élection sénatoriale américaine de 1944
The Eye of Argon,L d
crime in Australia,crim en Australie
Rainbow party,Fête de l
pseudophilosophical thinking,penser pseudophilosophique
Retro FM,Rétro FM
Saint Petersburg State University of Technology and Design,Université d de technologie et de design de Saint-Pétersbourg
Saint Petersburg State University of Industrial Technology and Design,Université d de technologie industriel et de design de Saint-Pétersbourg
Saint Petersburg State University of Telecommunications,Université d un Télécommunications de Saint-Pétersbourg
list of football clubs in Russia by competitive honours won,liste de club de football en Russie par compétition honneur remporter
1936 United States House of Representatives elections,Élection de le Chambre de représentant de États-Unis en 1936
United States House of Representatives elections  1936,Élection de le Chambre de représentant de États-Unis 1936
1946 United States House of Representatives elections,Élection de 1946 à le Chambre de représentant de États-Unis
United States House of Representatives elections  1946,Élection de le Chambre de représentant de États-Unis 1946
Tomsk State University of Control Systems and Radio-electronics,Université d de Tomsk de système de contrôle et de radio-électroniqu
Mashona uprising,Insurrection de Mashona
Matabele uprising,Insurrection de Matabele
Ndebele insurrection,Insurrection Ndebele
1963 England vs Rest of the World football match,1963 Angleterre - Reste de monde de football
1971 Sudanese coup d'état,1971 coup d soudanais
1972 Major League Baseball season,Saison 1972 de le Ligue majeur de baseball
1973 Thai popular uprising,1973 Insurrection populaire thaïlandaise
1975–76 NFL playoffs,Série éliminatoire de le NFL 1975-1976
1975-76 NFL playoffs,1975-76 éliminatoire de le NFL
1976 Moro Gulf earthquake,Séisme de 1976 dans le golfe de Moro
1984 NFL Supplemental Draft of USFL and CFL Players,1984 NFL repêchage supplémentaire de joueur de l et de le LCF
1989 Newcastle earthquake,Séisme de 1989 à Newcastle
1990 NASCAR Winston Cup Series,Série NASCAR Winston Cup 1990
1993 Major League Baseball draft,Repêchage de le Ligue majeur de baseball en 1993
1993 MLB Draft,Repêchage de le MLB 1993
1990–91 NFL playoffs,Série éliminatoire de le NFL 1990-1991
1990-91 NFL playoffs,Série éliminatoire de le NFL 1990-91
1994 AFL season,Saison 1994 de l
1994 Kuril Islands earthquake,Séisme de 1994 à île Kourile
1994 Hokkaidō-tōhōoki earthquake,Séisme de 1994 à Hokkaidō-tōhōoki
1998–99 NFL playoffs,Série éliminatoire de le NFL 1998-1999
1998-99 NFL playoffs,1998-99 Série éliminatoire de le NFL
1999–2000 NFL playoffs,Série éliminatoire de le NFL 1999-2000
1999-2000 NFL playoffs,Série éliminatoire de le NFL 1999-2000
2001 NCAA Division I-A football season,Saison 2001 de le NCAA Division I-A de football
2003 NCAA Division I-A football season,Saison 2003 de le NCAA Division I-A de football
2006 NRL season,Saison 2006 de le LNR
2004 NASCAR Nextel Cup Series,Série de NASCAR Nextel Cup 2004
2010 ICC Under-19 Cricket World Cup,Coupe de monde de cricket de moins de 19 an 2010
2011–12 NFL playoffs,Série éliminatoire de le NFL 2011-2012
2011-12 NFL playoffs,Série éliminatoire NFL 2011-12
90 Minutes in Heaven,90 minute au paradis
A Day Late and a Dollar Short,Un jour de retard et un dollar court
A Good Man Is Hard to Find,Un homme bon être difficile à trouver
A Wind in the Door,Un vent dans le porte
A la juventud filipina,À le juventud filipiner
Accession of East Timor to the Association of Southeast Asian Nations,Adhésion de Timor oriental à l de nation de l de Sud-Est
Cancer Institute (WIA),Institut de cancer (WIA)
Ahsanullah University of Science and Technology,Université de science et de le technologie Ahsanullah
2014 Alabama gubernatorial election,Élection de gouverneur de l de 2014
Alabama gubernatorial election  2014,Élection de gouverneur de l 2014
Mausoleum of three leaders,Mausoler de trois chef
Andijan uprising of 1898,Insurrection d de 1898
architecture of Mexico,architecture de Mexique
Architecture of Mexico,Architecture de Mexique
Republican Party of Arizona,Parti républicain de l
2014 Arkansas gubernatorial election,Élection de gouverneur de l de 2014
Arkansas gubernatorial election  2014,Élection de gouverneur de l 2014
2006 Arkansas gubernatorial election,Élection de gouverneur de l de 2006
Arkansas gubernatorial election  2006,Élection de gouverneur de l 2006
Augusta GreenJackets,greenjacket De L
BAFA National Leagues,BAFA Ligue national
BAFA Community Leagues,BAFA Ligue communautaire
Bank of the Nation,Banque de le Nation
Bartholomew and the Oobleck,Bartholomée et l
Battle of Alberta,Bataille de l
Battle of Liberty Place,Place de le Bataille de le Liberté
Beautiful Boy: A Father's Journey Through His Son's Addiction,Beau garçon: le voyage d père à travers le dépendance de son fils
February 2005 Bihar Legislative Assembly election,Février 2005 Élection à l législatif de Bihar
Bihar Legislative Assembly election  February 2005,Élection à l législatif de Bihar février 2005
Bloomsburg University of Pennsylvania,Bloomsburg Université de Pennsylvanie
2012 United States Senate election in Indiana,Élection sénatoriale américaine de 2012 dans l
United States Senate election in Indiana  2012,Élection sénatoriale américaine dans l en 2012
2010 California Attorney General election,Élection de procureur général de le Californie de 2010
California Attorney General election  2010,Élection de procureur général de le Californie 2010
1990 California gubernatorial election,Élection de gouverneur de Californie de 1990
California gubernatorial election  1990,Élection de gouverneur de Californie 1990
1994 California gubernatorial election,Élection de gouverneur de le Californie de 1994
California gubernatorial election  1994,Élection de gouverneur de Californie 1994
2003 California gubernatorial recall election,2003 Élection de rappel de gouverneur de le Californie
Camp of Great Poland,Camp de Grande Pologne
capital punishment in Ireland,Le peine capital en Irlande
Capital punishment in the Republic of Ireland,Peine capital en République d
cauliflower cheese,fromage de chou-fleur
cauliflower and cheese,chou-fleur et fromage
Center for Immigration Studies,Centre d sur l
center of excellence,centre d
competency center,centre de compétence
capability center,centre de capacité
Central Clinical Hospital of the Presidential Administration of the Russian Federation,Hôpital clinique central de l présidentiel de le Fédération de Russie
Central University of Punjab,Université central de Pendjab
Charles R. Drew University of Medicine and Science,Université Charles R. Drew de médecine et de science
Mexican cheese,Fromage mexicain
Cheeses of Mexico,Fromage de Mexique
Cheese of Mexico,Fromage de Mexique
Chin chin,Chin-menton
Dough rock,Pierre de pâte
China's Best Actor: Wen Jiabao,Meilleur acteur chinois : Wen Jiabao
Chrysler SV1 Valiant,Chrysler SV1 Valiant
Cogan's Trade,Le commerce de Cogan
2014 Colorado gubernatorial election,Élection de gouverneur de Colorado de 2014
Colorado gubernatorial election  2014,Élection de gouverneur de Colorado 2014
Commission on Appointments,Commission de nomination
Commission on Higher Education,Commission de l supérieur
the Philippines' Commission on Higher Education,le Commission philippin de l supérieur
the Philippine Commission on Higher Education,le Commission philippin de l supérieur
Commission on Higher Education of the Philippines,Commission de l supérieur de Philippine
conservatism in Australia,conservatisme en Australie
Australian conservatism,Conservatisme australien
Conservative Party of New York State,Parti conservateur de l de New York
corruption in Afghanistan,Le corruption en Afghanistan
corruption in Chile,corruption en le Chili
2006–2007 Chilean corruption scandals,2006–2007 Le scandale de corruption au Chili
corruption in Kenya,Le corruption au Kenya
crime in Norway,crim en Norvège
crime in Poland,crim en Pologne
Culture and Imperialism,Culture et Impérialisme
1952 Democratic Party presidential primaries,1952 Primaire présidentiel de Parti démocrate
Democratic Party presidential primaries  1952,Primaire présidentiel de Parti démocrate 1952
1984 Democratic Party presidential primaries,1984 Primaire présidentiel de Parti démocrate
Democratic Party presidential primaries  1984,Primaire présidentiel de Parti démocrate 1984
Department of Agriculture,Ministère de l
DoubleClick for Publishers by Google,doubleclick pour le éditeur par Google
Driver and Vehicle Licensing Agency,Agence de permettre de conduire et de véhicule
Asiantaeth Trwyddedu Gyrwyr a Cherbydau,Trouver un hôtel à Cherbydau
education theory,théorie de l
electoral history of Abraham Lincoln,histoire électoral d Lincoln
electoral history of Franklin D. Roosevelt,l électoral de Franklin D. Roosevelt
electoral history of George W. Bush,l électoral de George W. Bush
electoral history of Margaret Thatcher,histoire électoral de Margaret Thatcher
existentialist anarchism,anarchisme existentialiste
first inauguration of Andrew Jackson,premier inauguration d Jackson
1st inauguration of Andrew Jackson,1ère inauguration d Jackson
Florence Y'alls,Florence Y
TD Ballpark,Parc de ballet TD
Florida Department of Children and Families,Département de l et de le famille de le Floride
Florida Gulf Coast Eagles men's basketball,Florida Gulf Coast Eagles de basket-ball masculin
Florida Gulf Coast Eagles basketball,Basket-ball de Aigle de le Côte de Golfe de Floride
1994 Florida gubernatorial election,Élection de gouverneur de le Floride de 1994
Florida gubernatorial election  1994,Élection de gouverneur de le Floride 1994
Fogo de Chão,Fogo de Chão
Ford EB Falcon,Ford EB Falcon
Ford XA Falcon,Ford XA Falcon
Ford XC Falcon,Ford XC Falcon
Ford XB Falcon,Ford XB Falcon
1968 United States Senate elections,Élection sénatoriale américaine de 1968
United States Senate elections  1968,Élection sénatoriale américaine de 1968
GM 4T60-E transmission,Transmission GM 4T60-E
Georgia Tech Yellow Jackets men's basketball,Georgia Tech Yellow Jacket de basket-ball pour homme
2010 Georgia gubernatorial election,Élection de gouverneur de le Géorgie de 2010
Georgia gubernatorial election  2010,Élection de gouverneur en Géorgie 2010
Grand Canyon Antelopes men's basketball,Basket-ball pour homme de Grand Canyon Antelopes
H.R. College of Commerce and Economics,H.R. Faculté de commerce et d
Comisión Nacional Bancaria y de Valores,Comisión Nacional Bancaria y de Valores
Comision Nacional Bancaria y de Valores,Comision Nacional Bancaria y de Valores
1910 Mexican general election,Élection général mexicain de 1910
Christmas food,Nourriture de Noël
Hospital San Juan de Dios,Hôpital San Juan de Dios
Instituto Ecuatoriano de Seguridad Social,Instituto Ecuatoriano de Seguridad Social
Hughes XH-17,Hughes XH-17
XH-17 "Flying Crane",XH-17 "Grue Volante"
India at the 1996 Summer Paralympics,Inde à Jeu paralympique d de 1996
2009 Indian general election in West Bengal,Élection général indien de 2009 au Bengale-Occidental
2007 Indian presidential election,Élection présidentiel indienne de 2007
Indian presidential election  2007,Élection présidentiel indienne de 2007
information privacy law,Loi sur le protection de renseignement personnel
Iran Football's 3rd Division,Iran Football 3èm Division
capital punishment in Chile,Le peine capital au Chili
İstanbul İktisadî ve Ticarî İlimler Akademisi,İstanbul İktisadî ve Ticarî İlimler Akademisi
Arabaşı soup,Soupe Arabaşi
sport utility cars,Voiture utilitaire sport
Universidad Nacional Experimental de los Llanos Occidentales Ezequiel Zamora,Universidad Nacional Experimental de los Llanos Occidentales Ezequiel Zamora
San-en Nanshin Expressway,Autoroute San-en Nanshin
KK Women's and Children's Hospital,Hôpital pour femme et enfant KK
Hospital Wanita dan Kanak-kanak Kandang Kerbau,Hôpital Wanita dan Kanak-kanak Kandang Kerbau
KK Women's & Children's Hospital,Hôpital pour femme et enfant KK
Kanagawa Institute of Technology,Institut de technologie de Kanagawa
Kanagawa kōka daigaku,Kanagawa kōker daigaku
2004 Karnataka Legislative Assembly election,Élection de l législatif de Karnataka en 2004
Karnataka Legislative Assembly election  2004,Élection à l législatif de Karnataka 2004
2003 Kentucky gubernatorial election,Élection de gouverneur de Kentucky de 2003
Kentucky gubernatorial election  2003,Élection de gouverneur de Kentucky 2003
2007 Kentucky gubernatorial election,Élection de gouverneur de Kentucky de 2007
Kentucky gubernatorial election  2007,Élection de gouverneur de Kentucky 2007
2011 Kerala Legislative Assembly election,2011 élection à l législatif de Kerala
Kerala Legislative Assembly election  2011,Élection à l législatif de Kerala 2011
2006 Kerala Legislative Assembly election,Élection de l législatif de Kerala en 2006
Kerala Legislative Assembly election  2006,Élection à l législatif de Kerala 2006
Kingston House estate  London,Domaine Kingston House Londres
honeycomb cookie,Biscuits en nid d
rose cookie,Biscuits roser
Tourism Authority of Thailand,Autorité de Tourisme de Thaïlande
University of Applied Science and Technology,Université de science appliquer et de le technologie
Liberty and Democracy Party,Partir de le liberté et de le démocratie
Rajamangala University of Technology Srivijaya,Université de technologie de Rajamangala Srivijaya
1995 Louisiana gubernatorial election,Élection de gouverneur de le Louisiane de 1995
Louisiana gubernatorial election  1995,Élection de gouverneur de le Louisiane 1995
