label,translation
Defense Counterintelligence and Security Agency,Agencia de contrainteligencia y seguridad de Defensa
1974–75 NHL season,Temporada de el NHL 1974-75
1974-75 NHL season,Temporada de el NHL 1974-75
Yunnan daxue,Daxo de Yunnan
Executives of Construction Party,Ejecutivos del Partido de el Construcción
Roman Catholicism in Belarus,Catolicismo Romano en Belarús
Index of philosophy,Índice de filosofía
SWITCH Information Technology Services,Servicios de Tecnología de el Información de SWITCH
Sneddon syndrome,síndrome de Sneddon
Idiopathic livedo reticularis with systemic involvement,Livedo reticularis idiopático con participación sistémico
Idiopathic livedo reticularis with systemic involvement,Livedo reticularis idiopático con participación sistémico
Livedo racemosa-cerebrovascular accident syndrome,Síndrome de accidente racemosa-cerebrovascular de Livedo
Livedo reticularis-cerebrovascular accident syndrome,Síndrome de accidente cerebrovascular de Livedo reticularis
Livedo Reticularis and Cerebrovascular Accidents,Livedo Reticularis y Accidentes Cerebrovasculares
Ehrmann-Sneddon syndrome,síndrome de Ehrmann-Sneddon
Sneddon's syndrome,Síndrome de Sneddon
Livedo racemosa and cerebrovascular accidents,Livedo racemós y accidente cerebrovascular
Cerebro-vascular lesions and livedo reticularis,Lesión cerebrovascular y reticularis en vivo
Pálffy ab Erdöd,Pálffy ab Erdöd
Armigerous clan,Clan Armigero
dopamine-responsive dystonia,distonir que responder a el dopamina
Segawa's dystonia,Diston de Segawa
Dopa-responsive dystonia,Diston que responder a el dopa
HPD with diurnal fluctuation,HPD con fluctuación diurno
Hereditary progressive dystonia with diurnal fluctuation,Distonir progresivo hereditaria con fluctuación diurno
DYT5 Dystonia,DYT5 Distonia
Segawa's Disease,Enfermedad de Segawa
Segawa syndrome,síndrome de Segawa
Swiss intelligence agencies,Agencias de inteligencia suizo
Lila: An Inquiry into Morals,Lila: Uno investigación sobre el moral
bamboo musical instrument,instrumento musical de bambú
mutual insurance,seguro mutuo
mutual insurance company,compañía de seguro mutuo
ROC Coast Guard,Guardia Costera ROC
National Taiwan University of Science and Technology,Universidad Nacional de Ciencia y Tecnología de Taiwán
HTC Evo 4G,HTC Evo 4G
Nazotoki wa Dinner no Ato de,Nazotoki wa Cena no Ato de
STAR Chinese Movies,Película china de STAR
Friday  or  The Other Island,Viernes o El otro isla
Friday; or  the Other Island,Viernes; o el otro isla
Phoenix TV,Phoenix TV
Canon PowerShot G,Canon PowerShot G
PowerShot G series,powershot serie G
The Sweetness at the Bottom of the Pie,El dulzura en el fondo del pastel
1990–91 FA Cup,Copa de el FA 1990-91
1991 FA Cup,Copa de el FA 1991
1990-91 FA Cup,Copa de el FA 1990-91
Party of France,Partido de Francia
Regula pastoralis,Regula pastoralis
Cura pastoralis,Cura pastoral
The Shape of Water,El forma del agua
Call to Australia Party,Llamada a el fiesta de Australia
Echo of Moscow,El eco de Moscú
Auckland University of Technology,Universidad de Tecnología de Auckland
AUT University,Universidad de AUT
Auckland Institute of Technology,Instituto de Tecnología de Auckland
Promotion to the Bundesliga,Ascenso a el Bundesliga
pityriasis rubra pilaris,pitiriasis rubra pilaris
Devergie's disease,Enfermedad de Devergie
Pityriasis rubra pilaris,Pitiriasis rubra pilaris
Pityriasis rubra pilaris,Pitiriasis rubra pilaris
CZAW SportCruiser,CZAW SportCruiser
Weizsäcker family,familia Weizsäcker
Interstate 90 in Indiana,Interestatal 90 en Indiana
BNR Newsradio,Radio de noticia BNR
Interstate 80 in New Jersey,Interestatal 80 en Nueva Jersey
Bentley T-series,Serie T de Bentley
U.S. Route 30 in Pennsylvania,Ruta 30 de el Estados Unidos en Pensilvania
The True Confessions of Charlotte Doyle,El verdadero confesión de Charlotte Doyle
University of Hyogo,Universidad de Hyogo
Washington SR 20,Washington SR 20
Research Institute for Mathematical Sciences,Instituto de Investigación de Ciencias Matemáticas
Macau University of Science and Technology,Universidad de Ciencia y Tecnología de Macao
athletics at the 2008 Summer Olympics – men's 200 metres,atletismo en el Juegos Olímpicos de Verano de 2008 - 200 metro masculinos
2008 Beijing Olympic Games – Men's 200 metres,Juegos Olímpicos de Pekín 2008 – 200 metro masculinos
athletics at the 2008 Summer Olympics - men's 200 metres,atletismo en el Juegos Olímpicos de Verano de 2008 - 200 metro masculinos
Asian values,Valor asiático
Toho Gakuen School of Music,Escuela de Música de Toho Gakuen
human–robot interaction,interacción hombre-robó
Under the Sun of Satan,Bajo el Sol de Satanás
2013 PDC World Darts Championship,Campeonato Mundial de Dardos PDC 2013
Class FM,Clase FM
Kaiser Wilhelm Institute of Anthropology  Human Heredity  and Eugenics,Instituto Kaiser Wilhelm de Antropología Herencia Humana y Eugenia
Equestrian statue of Frederick the Great,Estatua ecuestre de Federico el Grande
Main road 5,Camino principal 5
Finnish national road 5,Camino nacional finlandés 5
valtatie 5,Valtatie 5
riksväg 5,riksväg 5
The Rider on the White Horse,El jinete en el caballo blanco
Romance of the Three Kingdoms series,El romance de el Tres Reinos seriir
Sangokushi series,Serie de Sangokushi
Shōwa Denkō Kabushiki-gaisha,Shōwa Denkō Kabushiki-gaisha
triarylmethane dye,tinte de triarilmetano
triarylmethane dyes,tinte de triarilmetano
triphenylmethane dye,tinte de trifenilmetano
Senate of Delaware,Senado de Delaware
State Senate of Delaware,Senado estatal de Delaware
2008–09 NHL season,Temporada de el NHL 2008-09
2008-09 NHL season,Temporada de el NHL 2008-09
Conservative Party of Canada,Partido Conservador de Canadá
Taishō daigaku,Daigaku de Taishō
1937 Grand Prix season,Temporada del Gran Premio 1937
election in the United Kingdom,elección en el Reino Unido
United Kingdom elections,Elección del Reino Unido
UK elections,Elección en el Reino Unido
elections in the United Kingdom,elección en el Reino Unido
1998 United States House of Representatives elections,Elección a el Cámara de Representantes de el Estados Unidos de 1998
United States House of Representatives elections  1998,Elección de el Cámara de Representantes de el Estados Unidos en 1998
2010 FIFA World Cup qualification – AFC Fourth Round,Calificación de el Copa del Mundo FIFA 2010 - Cuarto ronda de el AFC
2010 FIFA World Cup qualification - AFC Fourth Round,Calificación de el Copa del Mundo de el FIFA 2010 - Cuarto ronda de el AFC
The Bridge of San Luis Rey,El puente de San Luis Rey
HC Košice,HC Košice
FIS Grand Prix Ski Jumping,Saltar de esquí en gran premio de FIS
UCI Cyclo-cross World Championships – Men's elite race,Campeonato Mundial de Ciclo-cross de UCI – carrera de élite masculino
The World of Null-A,El Mundo de Null-A
The World of Ā,El Mundo de Ā
Institut der deutschen Wirtschaft,Institut der deutschir Wirtschaft
For Love of the Game,Por el amor del juego
CLP Group,Grupo CLP
CLP Holdings,Tendencias CLP
CLP Power,Potencia CLP
CLP Power Hong Kong Limited,CLP Power Hong Kong Limited
U.S. Route 66 in New Mexico,Ruta 66 de el Estados Unidos en Nuevo México
MTX Tatra V8,MTX Tatra V8
2007 Noto earthquake,Sismo de Noto de 2007
Ministry of Justice Investigation Bureau,Oficina de Investigación del Ministerio de Justicia
Sozialmedizinisches Zentrum Baumgartner Höhe Otto-Wagner-Spital und Sozialmedizinisches Zentrum Baumgartner Höhe Pflegezentrum,Sozialmedizinisches Zentrum Baumgartner Höhe Otto-Wagner-Spital und Sozialmedizinisches Zentrum Baumgartner Höhe Pflegezentrum
Niigata Minamata disease,Enfermedad de Niigata Minamata
swimming at the 2008 Summer Olympics – men's 200 metre freestyle,natación en el Juegos Olímpicos de verano de 2008 – 200 metro de estilo libre masculino
swimming at the 2008 Summer Olympics - men's 200 metre freestyle,natación en el Juegos Olímpicos de verano de 2008 - 200 metro de estilo libre masculino
volleyball at the 1976 Summer Olympics – men's tournament,voleibol en el Juegos Olímpicos de Verano de 1976 - torneo masculino
volleyball at the 1976 Summer Olympics - men's tournament,voleibol en el Juegos Olímpicos de Verano de 1976 - torneo masculino
Saint Andrew's University,Universidad de San Andrés
Cancom SE,ÉL de Cancom
Caput medusae,Caput medusae
Cruveilhier–Baumgarten syndrome,Síndrome de Cruveilhier-Baumgarten
Distended umbilical veins,Vena umbilical distendida
New Energy and Industrial Technology Development Organization,Nueva Organización para el Desarrollo de el Tecnología de el Energía y el Industrial
Jelali revolts,Rebelión de Jelali
celali uprising,levantamiento de celi
University of Milan-Bicocca,Universidad de Milán-Bicocca
Università degli Studi di Milano-Bicocca,Università degli Studi di Milano-Bicocca
Universita degli Studi di Milano-Bicocca,Universita degli Studi di Milano-Bicocca
swimming at the 2000 Summer Olympics – men's 4 × 100 metre freestyle relay,natación en el Juegos Olímpicos de verano de 2000 - relevo de estilo libre de hombre de 4 × de 100 metro
swimming at the 2000 Summer Olympics - men's 4 x 100 metre freestyle relay,natación en el Juegos Olímpicos de verano de 2000 - relevo de estilo libre masculino de 4 x 100 metro
National Institute of Advanced Industrial Science and Technology,Instituto Nacional de Ciencias y Tecnología Industriales Avanzadas
Sangyō Gijutsu Sōgō Kenkyū-sho,Sangyō Gijutsu Sogō Kenkyū-sho
House of Châtillon,Casa de Châtillon
Maison de Châtillon,Maison de Châtillon
House of Chatillon,Casa de Chatillon
Maison de Chatillon,Maisón de Chatillon
National University of Modern Languages,Universidad Nacional de Lenguas Modernas
National University of Modern Languages,Universidad Nacional de Lenguas Modernas
Rolls-Royce 100EX,Rolls-Royce 100EX
Sports day,Día de deporte
field day,día de campo
Ship of Fools,Nave de el tonto
VRT Radio 1,Radio VRT 1
Obihiro University of Agriculture and Veterinary Medicine,Obihiro Universidad de Agricultura y Medicina Veterinaria
Rights and Equality Party,Partido de el Derechos y el Igualdad
People's Voice Party,Fiesta de voz del pueblo
Visual Art's,Arte visual
visual literacy,alfabetización visual
Daihatsu Be-go,Daihatsu Be-go
Daimler DS420,Daimler DS420
Alfredshems IK,Alfredshems IK
Modo HK,Modo HK
O.M.Beketov National University of Urban Economy in Kharkiv,O.M. Beketov Universidad Nacional de Economía Urbana en Jarkiv
Kharkiv National Academy of Municipal Economy,Academia Nacional de Economía Municipal de Kharkiv
The Thief of Always,El ladrón de siempre
The Song of Bernadette,El canción de Bernadette
The Riddle of the Sands,El Acertijo de el arena
On the Bondage of the Will,Sobre el esclavitud de el voluntad
The Love of the Last Tycoon,El amor del último magnate
The German lesson,El lección de alemán
Lectures on the Philosophy of History,Conferencia sobre el filosofía de el historia
The Witches of Eastwick,El bruja de Eastwick
The Last Children of Schewenborn,El último hijo de Schewenborn
Dirty protest,Protesta sucio
no wash protest,sin protesta de lavado
Smiley's People,El gente de Smiley
Brotherhood and Unity Highway,Carretera de el Hermandad y el Unidad
2000–01 FIS Ski Jumping World Cup,Copa del mundo de salto de esquí de el FIS 2000-2001
2000-01 FIS Ski Jumping World Cup,Copa del Mundo de Salto de esquí 2000-01 FIS
Dîner en Blanc,Dîner en Blanc
Diner en Blanc,Comedor en Blanc
security studies,estudio de seguridad
Hungarian University of Agriculture and Life Sciences,Universidad de Hungría de Agricultura y Ciencias de el Vida
Revolt of the Lash,Revuelta de el Lash
Revolt of the Chibata,El revuelta de el Chibata
Revolt of the Whip,Revuelta del látigo
Revolt against the Lash,Rebelión contra el Lash
Tokyo University of Agriculture and Technology,Universidad de Agricultura y Tecnología de Tokio
Kosača noble family,familia noble de Kosača
Kosačić noble family,familia noble de Kosačić
House of Kosača,Casa de Kosača
House of Kosačić,Casa de Kosačić
Swedish allotment system,Sistema de asignación sueco
1991 Men's World Ice Hockey Championships,Campeonato Mundial de hockey sobre hielo masculino 1991
1999 Men's World Ice Hockey Championships,Campeonato Mundial de hockey sobre hielo masculino de 1999
Freedom and Accord Party,Partido de el Libertad y el Acuerdo
electric mobility,movilidad eléctrico
electrically-powered transport,transporte eléctrico
Naxos disease,enfermedad de Naxos
Naxos syndrome,síndrome de Naxos
Palmoplantar hyperkeratosis with arrythmogenic cardiomyopathy,Hiperqueratosis palmoplantar con cardiomiopatía arritmogénico
Palmoplantar Keratoderma With Arrhythmogenic Right Ventricular Cardiomyopathy and Woolly Hair,Queratoderma palmoplantar con cardiomiopatía ventricular derecha arritmogénico y pelo lanoso
Keratosis palmoplantaris arrythmogenic cardiomyopathy woolly hair,Queratosis palmoplantaris cardiomiopatir arritmogénico pelo lán
Woolly hair palmoplantar keratoderma cardiac abnormalities,Anormalidad cardíaca queratodermar palmoplantar del pelo lán
Keratoderma with woolly hair type I,Keratoderma con pelo lán tipo I
Palmoplantar keratoderma with arrythmogenic cardiomyopathy,queratodermar palmoplantar con cardiomiopatía arritmogénico
Woolly Hair  Palmoplantar Keratoderma  and Cardiac Abnormalities,Cabello lán queratodermar palmoplantar y anomalía cardíaca
KWWH type I,KWWH tipo I
Keratosis palmoplantaris with arrythmogenic cardiomyopathy,Queratosis palmoplantaris con cardiomiopatía arritmogénico
Cardiomyopathy  Arrhythmogenic Right Ventricular  With Skin  Hair  and Nail Abnormalities,Cardiomiopatía arritmogénico ventricular derecho con anormalidad en el piel el pelo y el uña
empty sella syndrome,síndrome de Sella vacío
Empty sella syndrome,Síndrome de Sella vacío
Empty sella syndrome,Síndrome de Sella vacío
Empty sella turcica,Sella turcico vacío
Military Academy of the Signal Corps,Academia Militar del Cuerpo de Señales
Military Academy of Communications named after Marshal of the Soviet Union SM Budennogo,Academia Militar de Comunicaciones nombrado en honor al Mariscal de el Unión Soviética SM Budennogo
Military Academy of Communications named after SM Budenny,Academia Militar de Comunicaciones nombrado en honor a SM Budenny
Military Red Banner Academy of Telecommunications. S.M. Budyonny,Academia de Telecomunicaciones de Banner Rojo Militar. S.M. Budionía
Higher Military Electrotechnical School of the Workers 'and Peasants' Red Army,Escuela Superior de Electrotécnica Militar del Ejército Rojo de Trabajadores y Campesinos
Tulip period,Período de tulipán
mass start,inicio de masa
higher party school,escuela de partido superior
Ich bin dann mal weg,Ich bin dann mal weg
University of Mysore,Universidad de Mysore
Exit  Voice  and Loyalty,Salida voz y lealtad
FC Pinzgau Saalfelden,FC Pinzgau Saalfelden
1989 Iranian presidential election,Elección presidencial iraní de 1989
Iranian presidential election  1989,Elección presidencial iraní en 1989
pasta filata,filata de pasta
spun paste cheese,queso de pasta hilado
spun paste cheeses,queso de pasta hilado
stretched-curd cheeses,queso de cuaja estirado
stretched-curd cheese,queso de cuaja estirado
pulled-curd cheeses,queso de cuaja
pulled-curd cheese,queso cuajado
plastic-curd cheeses,queso de plástico cuajado
plastic-curd cheese,queso de plástico cuajado
2007–08 NHL season,Temporada de el NHL 2007-08
2007-08 NHL season,Temporada de el NHL 2007-08
Fit for Life,Apropiado para el vida
CH-148 Cyclone,CH-148 Ciclón
Sikorsky CH-148,Sikorsky CH-148
Linköping HC,Linköping HC
Linköpings HC,Linköpings HC
athletics at the 2000 Summer Olympics – men's 100 metres,atletismo en el Juegos Olímpicos de verano de 2000 - 100 metros masculinos
athletics at the 2000 Summer Olympics - men's 100 metres,atletismo en el Juegos Olímpicos de verano de 2000 - 100 metro de el hombre
DFS SG 38 Schulgleiter,DFS SG 38 Schulgleiter
House of Hoyos,Casa de Hoyos
Nissan R390 GT1,Nissan R390 GT1
Maryland State Teachers College at Towson,Escuela de docente estatal de Maryland en Towson
UEFA Euro 2000 Group A,UEFA Euro 2000 Grupo A
Lexus LS600h,Lexus LS600h
Biliary sludge,Lodo biliar
2000 Men's World Ice Hockey Championships,Campeonato Mundial de Hockey sobre Hielo Masculino 2000
University of Malaysia  Kelantan,Universidad de Malasia Kelantan
Cutting for Stone,Cortar por el piedra
Postictal  twilight state,Estado de crepúsculo postíctico
twilight state,estado crepúsculo
twilight state of consciousness,estado crepúsculo de consciencia
Open Learning Institute of Hong Kong,Instituto de Aprendizaje Abierto de Hong Kong
Open University of Hong Kong,Universidad Abierta de Hong Kong
HC Kladno,HC Kladno
TVR Tasmin,TVR Tasmin
Western Michigan College of Education,Escuela de Educación del Oeste de Michigan
The 100 most prominent Serbs,El 100 serbio más prominente
1982–83 NHL season,Temporada de el NHL 1982-83
1982-83 NHL season,Temporada de el NHL 1982-83
US Marocaine Casablanca,Marocaine Casablanca de el Estados Unidos
Playing for Pizza,Jugando para el pizza
Trakehnen main stud farm,granja principal de semental de Trakehnen
Nikon 1 series,serie Nikon 1
wood processing,procesamiento de madera
Bored of the Rings,Aburrido de el anillo
NEC Supertower,Supertorre de NEC
National Assembly of Cameroon,Asamblea Nacional de Camerún
Hukou system,sistema de Hukou
Tullett Prebon plc,Tullett Prebon plc
TP ICAP plc,TP ICAP plc
2007 ICC World Twenty20,2007 ICC World Twenty20
Lada XRAY,RAYO X de Lada
State road 3 bis,Camino estatal 3 bis
Interstate 95 in Massachusetts,Interestatal 95 en Massachusetts
benign pilomatricoma,pilomatricoma benigno
Calcifying Epitherlioma of Malherbe,Epiterlioma calcificador de Malherbe
Epithelioma Calcificans of Malherbe,Epitelioma Calcificantes de Malherbe
Calcifying epithelioma of Malherbe,Epitelioma calcifiante de Malherbe
KBG syndrome,Síndrome de KBG
Short stature  characteristic facies  macrodontia  mental retardation  and skeletal anomalies,Estatura cortar faci característico macrodontia retraso mental y anomalía esquelética
Macrodontia  Mental Retardation  Characteristic Facies  Short Stature  and Skeletal Anomalies,Macrodontia retraso mental faci característico estatura corto y anomalía esquelética
Short stature-facial and skeletal anomalies-intellectual disability-macrodontia syndrome,Estatura corta-facial y anomalía esqueléticas-incapacidad intelectual-síndrome de macrodontia
presidency of Martin Van Buren,presidencia de Martin Van Buren
2000–01 NHL season,Temporada de el NHL 2000-2001
2000-01 NHL season,Temporada 2000-01 de el NHL
Kastelholms slott,ranura de Kastelholms
Presidency of the Council of Ministers of Italy,Presidencia del Consejo de Ministros de Italia
Classical dressage,Aderezo clásico
Nissan NX,Nissan NX
erythropoietic protoporphyria,protoporfiria eritropoyético
Erythropoietic protoporphyria,protoporfiria eritropoyético
Erythropoietic protoporphyria,protoporfiria eritropoyético
IIHF World U18 Championship,Campeonato Mundial de el IIHF
Moscow University for Women,Universidad de Moscú para el Mujer
University of Tennessee at Chattanooga,Universidad de Tennessee en Chattanooga
University of Chattanooga,Universidad de Chattanooga
SFC Energy,Energía SFC
National Institute of Aeronautics and Space,Instituto Nacional de Aeronáutica y Espacio
Lembaga Penerbangan dan Antariksa Nasional,Lembaga Penerbangan dar Antariksa Nasional
La Tour du Pin family,Familia El Tour du Pin
Nossa Senhora do Socorro,Nossa Senhora do Socorro
CWKS Legia Warsaw,CWKS Legia Varsovia
University of New England,Universidad de Nueva Inglaterra
The University of New England,El Universidad de Nueva Inglaterra
New England University College of the University of Sydney,Escuela Universidad de Nueva Inglaterra de el Universidad de Sydney
Romanian ethnic minorities parties,Partes de el minoría étnico rumana
Mazda RX-3,Mazda RX-3
GAZ M21 Volga,GAZ M21 Volga
beneficial organism,organismo beneficioso
Montreal AAA,Montreal AAA
Movement of Citizens,Movimiento de Ciudadanos
National Association of Software and Service Companies,Asociación Nacional de Empresas de Software y Servicios
National Association of Software and Services Companies,Asociación Nacional de Empresas de Software y Servicios
1984–85 NHL season,Temporada de el NHL 1984-85
1984-85 NHL season,Temporada de el NHL 1984-85
2012 NCAA Division I FBS football season,temporada de fútbol de el NCAA División I de el FBS 2012
Luleå University of Technology,Universidad de Tecnología de Luleå
University of Science Malaysia,Universidad de Ciencias Malasia
University of Science  Malaysia,Universidad de Ciencias Malasia
Institute for Creation Research,Instituto de Investigación de el Creación
acute generalized exanthematous pustulosis,pustulosis exantematós generalizado agudo
Toxic pustuloderma,pustulodermia tóxico
Pustular drug eruption,Erupción de fármaco pustular
Pudendal nerve entrapment,Atrapamiento del nervioso pudendal
Alcock syndrome,síndrome de Alcock
Pudendal nerve entrapment syndrome,Síndrome de atracción del nervioso pudendal
pudendal nerve neuralgia,neuralgia del nervio pudendal
Pudendal algia,Algia Pudenda
UBERON:0011390 neuralgia,UBERON:0011390 neuralgia
Pudendal neuralgia by pudendal nerve entrapment,Neuralgia pudendar por atracción de nervio pudendal
Gagarin family,Familia Gagarin
Nokia 6120 classic,Nokia 6120 clásico
Ministry of Construction of Heavy Industry,Ministerio de Construcción de el Industria Pesada
DES daughter,hija DES
diethylstilbestrol syndrome,síndrome de dietilstilbestrol
Antenatal diethylstilbestrol exposure,exposición prenatal a dietilstilbestrol
DES embryofetopathy,embriofetopatir DES
Diethylstilbestrol embryofetopathy,Embriofetopatía de dietilstilbestrol
Distilbene embryofetopathy,Embriofetopatía del distilbeno
DES syndrome,síndrome de DES
Fetal diethylstilbestrol syndrome,síndrome de dietilstilbestrol fetal
Office National d'Études et de Recherches Aérospatiales,Oficina Nacional de Études et de Recherches Aérospatiales
1994 NASCAR Winston Cup Series,Serie de el Copa de Winston de NASCAR 1994
table tennis at the 2012 Summer Olympics – men's team,tenis de mesa en el Juegos Olímpicos de verano de 2012 – equipo masculino
table tennis at the 2012 Summer Olympics - men's team,tenis de mesa en el Juegos Olímpicos de verano de 2012 - equipo masculino
Oscar and the Lady in Pink,Oscar y el dama de rosa
Wiśniowiecki family,familia Wiśniowiecki
Toyota SA,Toyota S.A
Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry,Morales y dogma del antiguo y aceptado Rito Escocés de el masonería
Morals and Dogma,Morales y dogma
bE HAVIOUR,SER TENER
Artificial Mind and Movement,Mente y movimiento artificial
UzAuto Motors,Motores UzAuto
GM Uzbekistan,GM Uzbekistán
Caisse primaire d'assurance maladie,Caisse primaire d maladie
Swiss law,Derecho suizo
Law of Switzerland,Ley de Suiza
Interstate 25 in Colorado,Interestatal 25 en Colorado
definition of religion,definición de religión
Macintosh SE/30,Macintosh SE/30
gun laws and policy,ley y política de arma
overview of gun laws by nation,descripción general de el ley de arma por nación
Reply S.p.A,Responder S.p.A
Rodenstein family,familia Rodenstein
Keijitsusan Tōfuku-ji,Keijitsusan tōfuku-ji
Belgian Provincial leagues,Ligas provincial belga
Dejvické divadlo,Dejvické divadlo
SAP Solution Manager,Gestor de solución de SAP
SUMCO Corporation,Corporación SUMCO
Kabushiki-gaisha Samuko,Kabushiki-gaisha Samuko
Flight to afar,Vuelo a lejos
Amsterdam coronation riots,El disturbio de el coronación de Amsterdam
five-a-side football,fútbol de cinco a uno lado
5 a side,5 por uno lado
football five,cinco de fútbol
Serviço Nacional de Aprendizagem Comercial,Servicio Nacional de Aprendizagem Comercial
Amilcar CGSS,Amilcar CGSS
Storia: un romanzo,Storia: uno romanzo
The Economic Consequences of the Peace,El consecuencia económico de el paz
Russian Women's Basketball Premier League,Liga Premier de Básquet de Rusia
